LOCATION CODE,REAL PROPERTY ASSET NAME,GSA REGION,STREET ADDRESS,CITY,STATE,ZIP CODE,LATITUDE,LONGITUDE,BUILDING RENATABLE SQUARE FEET,CONSTRUCTION DATE,CONGRESSIONAL DISTRICT,CONGRESSIONAL DISTRICT REPRESENTATIVE NAME,BUILDING STATUS,REAL PROPERTY ASSET TYPE,,
WA0953,Federal Center South Office,10,4735 E Marginal Way S,Seattle,WA,98134,47.5584299,-122.34063,413219.57,1932,5307,Pramila Jayapal,Active,Building,,
AZ7810,Salt River Project,9,1521 N Project Dr,Tempe,AZ,85281,33.447475,-111.95279,4418,2000,404,Greg Stanton,Active,Building,,
CA7333,Kings Canyon Pavillion,9,4967 E Kings Canyon Rd,Fresno,CA,93727,36.7360396,-119.72851,0,2001,621,Jim Costa,Active,Building,,
MT5514,Great Northern Town Center -Helena - Front St,8,901 Front St,Helena,MT,59601,46.59744,-112.035,55651,2000,3002,Matthew Rosendale,Active,Building,,
CA0765,Federal Cntr Bldg 2C,9,620 Central Ave,Alameda,CA,94501,37.771563,-122.27904,8479.12,1942,612,Barbara Lee,Excess,Building,,
PA0756,Johnstown Cambria,3,479 Airport Rd,Johnstown,PA,15904,40.31776,-78.836391,836,2000,4213,John Joyce,Active,Building,,
PA0783,Castle Commons,3,200 S Spring Garden St,Carlisle,PA,17013,40.19862,-77.181731,6228,2000,4210,Scott Perry,Active,Building,,
HI5729,Honolulu International Airport,9,300 Rodgers Blvd,Honolulu,HI,96819,21.3356076,-157.91871,14231,1978,1501,Ed Case,Active,Building,,
MI2137,Muskegon County Airport,5,101 Sinclair Drive,Muskegon,MI,49441,43.1864182,-86.272336,916,2000,2603,Hillary Scholten,Active,Building,,
DC0236,Gate House No. 6,11,2701 Martin Luther King Jr Ave Se,Washington,DC,20032,38.85361,-77.000351,5135.04,2012,1198,Eleanor Norton,Active,Building,,
TX2344,Greenbriar Atrium I,7,16630 Imperial Valley Dr,Houston,TX,77060,29.94156,-95.395505,39172,2000,4829,Sylvia Garcia,Active,Building,,
FL3174,S. Washington Ave Bldg,4,210 S Washington Ave,Titusville,FL,32796,28.61294,-80.807791,4956,2000,1208,Bill Posey,Active,Building,,
MT5584,Montana Field Office,8,2008 23Rd St S,Great Falls,MT,59405,47.48316,-111.269,10160,2000,3002,Matthew Rosendale,Active,Building,,
TX8007,Usbs J&L Laredo Site,7,Termination I-35,Laredo,TX,78040,27.501764,-99.502636,0,,4828,Henry Cuellar,Active,Land,,
PA0894,145 W. Thompson St.,3,145 W Thompson St,Philadelphia,PA,19122,39.97086,-75.137711,26025,2000,4202,Brendan Boyle,Active,Building,,
NC2619,205 Regency Executive Park Building,4,205 Regency Executive Park Dr,Charlotte,NC,28217,35.1519271,-80.895672,4751,2008,3714,Jeff Jackson,Active,Building,,
WI1794,1137 N. 26Th St.,5,1137 N 26Th St,Sheboygan,WI,53081,43.75732,-87.740651,5125,2000,5506,Glenn Grothman,Active,Building,,
NM1452,Bp Alamogordo Station,7,1997 Highway 54 S,Alamogordo,NM,88310,32.8628616,-105.96816,8103,2000,3502,Gabe Vasquez,Active,Building,,
MN0651,Warroad Mn Secondary Inspection Building 2,5,41059 State Highway 313,Warroad,MN,56763,48.9887,-95.369615,10582.01,2010,2707,Michelle Fischbach,Active,Building,,
PR3930,San Patricio Off Ctr,2,7 Tabonuco Street,Guaynabo,PR,968,18.4077125,-66.109252,159878,1999,7298,Jenniffer Gonzalez-Colon,Active,Building,,
TX2252,One Veterans Plaza,7,701 Clay Ave,Waco,TX,76706,31.55157,-97.129274,138608,2000,4817,Pete Sessions,Active,Building,,
OH2271,6553 Winford Avenue Building,5,6553 Winford Ave,Hamilton,OH,45011,39.39224,-84.509911,10900,2000,3908,Warren Davidson,Active,Building,,
IN1720,Corporate Center North Ii B,5,6482 Corporate Dr,Indianapolis,IN,46278,39.8740801,-86.264874,27715,1988,1807,Andre Carson,Active,Building,,
NY7402,2 Metrotech Center,2,2 Metrotech Ctr,Brooklyn,NY,11201,40.69359,-73.985701,0,2000,3607,Nydia Velazquez,Active,Building,,
CA8280,1900 O'Farrell Street,9,1900 Ofarrell St,San Mateo,CA,94403,37.54844,-122.3156,12089,2000,615,Kevin Mullin,Active,Building,,
DC0112,Tayloe House,11,717 Madison Pl Nw,Washington,DC,20005,38.8989924,-77.035073,9534.74,1828,1198,Eleanor Norton,Active,Building,,
MD1825,30 West Gude Drive,11,30 W Gude Dr,Rockville,MD,20850,39.10574,-77.159591,10646,2000,2408,Jamie Raskin,Active,Building,,
TX0566,Usbs B&M Brownsville Tabc Booth,7,1300 Mexico Blvd,Brownsville,TX,78520,25.89417,-97.505571,160,1991,4834,Vicente Gonzalez,Active,Building,,
TX2123,Caltex House,7,125 E John W Carpenter Fwy,Irving,TX,75062,32.8681315,-96.9417826,111214,2000,4806,Jake Ellzey,Active,Building,,
WY1351,2268 North Main,8,2268 N Main St,Sheridan,WY,82801,44.81387,-106.955,3831,2017,5600,Harriet Hageman,Active,Building,,
OK1561,1200 W Okmulgee Ok1561,7,1200 W Okmulgee Ave,Muskogee,OK,74401,35.752941,-95.382932,9612,2000,4002,Josh Brecheen,Active,Building,,
UT0014,J. Will Robinson Fb,8,88 W 100 N,Provo,UT,84601,40.23547,-111.66,26535.8,1938,4903,John Curtis,Active,Building,,
TX0182,William M. Steger Federal Bldg And United States Ch Tx0182,7,221 W Ferguson St,Tyler,TX,75702,32.352075,-95.302553,52639.47,1934,4801,Nathaniel Moran,Active,Building,,
TX0722,Usbs Marcelino Serna Tornillo Pov Outbound,7,1400 Lower Island (Fm 1109) Road,Tornillo,TX,79853,31.435472,-106.14365,1146.04,2014,4823,Tony Gonzales,Active,Structure,,
FL2157,Woodland Comm Bldg,4,1970 Michigan Ave,Cocoa,FL,32922,28.3899,-80.753811,3333,2000,1208,Bill Posey,Active,Building,,
AR0062,Hot Springs Post Office/Cths,7,100 Reserve St,Hot Spgs Natl Park,AR,71901,34.5115398,-93.05398,62382.94,1961,504,Bruce Westerman,Active,Building,,
LA1508,Lsu School Of Veterinary Medicine,7,Lsu School Of Veterinary Medicine,Baton Rouge,LA,70803,30.411457,-91.187927,16950,1974,2206,Garret Graves,Active,Building,,
DC0365,409 3Rd St. S.W.,11,409 3Rd St Sw,Washington,DC,20024,38.8846,-77.015741,295457,2000,1198,Eleanor Norton,Active,Building,,
PA0751,Philadelphia International Airport,3,8500 Essington Ave,Philadelphia,PA,19153,39.8946409,-75.229342,7060,2000,4205,Mary Scanlon,Active,Building,,
AZ8217,Dea Tucson Building,9,6970 S Palo Verde Rd,Tucson,AZ,85756,32.12562,-110.91777,63501,2000,407,Raul Grijalva,Active,Building,,
WV0010,Forest Service Building Elkins,3,200 Sycamore St,Elkins,WV,26241,38.9277694,-79.847412,30439.38,1937,5402,Alexander Mooney,Active,Building,,
NM1538,909 Metro Avenue,7,909 Metro Ave,Gallup,NM,87301,35.5334863,-108.763,0,2000,3503,Teresa Leger Fernandez,Active,Building,,
NY7679,"85 Crystal Run Rd, Middletown, Ny 10941",2,85 Crystal Run Rd,Middletown,NY,10941,41.44986,-74.360898,11110,1990,3618,Patrick Ryan,Active,Building,,
MN1683,Baxter Brainerd Social Securit,5,8331 Brandon Rd,Baxter,MN,56425,46.34465,-94.226681,5986,2007,2708,Pete Stauber,Active,Building,,
CA6954,5810 Newton Dr,9,5810 Newton Dr,Carlsbad,CA,92008,33.13902,-117.28974,18922,2000,649,Mike Levin,Active,Building,,
DC1268,American Red-Cross Land,11,2025 E St Nw,Washington,DC,20006,38.89642,-77.045801,0,,1198,Eleanor Norton,Active,Land,,
IL2520,Lake Christine Center,5,1670 Lebanon Ave,Belleville,IL,62221,38.5344965,-89.963587,0,2000,1713,Nikki Budzinski,Active,Building,,
IN0521,Bldg 60 Gsa Fed Ctr,5,1201 E 10Th St,Jeffersonville,IN,47130,38.2863194,-85.732535,167027.61,1941,1809,Erin Houchin,Active,Building,,
IN0574,Contractor Garage,5,3200 Sheffield Ave,Hammond,IN,46327,41.6541682,-87.514546,1306.02,1944,1801,Frank Mrvan,Active,Building,,
FL3196,The Offices At The Omni,4,1645 Biscayne Blvd,Miami,FL,33132,25.7908991,-80.188975,26630,2000,1224,Frederica Wilson,Active,Building,,
NC2314,1633 John Small Avenue,4,1633 John Small Ave,Washington Park,NC,27889,35.54393,-77.021331,11727,2000,3703,Gregory Murphy,Active,Building,,
TX0963,Usbs Ysleta El Paso Headhouse,7,797 S Zaragoza Rd,El Paso,TX,79907,31.671985,-106.33538,4551.44,1991,4823,Tony Gonzales,Active,Building,,
OK0510,Gsa Pmd Center Warehouse 3 N,7,2800 S Eastern Ave,Oklahoma City,OK,73129,35.437535,-97.475389,6000,1980,4003,Frank Lucas,Active,Building,,
AZ0353,Mariposa Lpoe - Nii Commercial Inspection,9,200 N Mariposa Rd,Nogales,AZ,85621,31.3351254,-110.9677,4034.53,2013,407,Raul Grijalva,Active,Building,,
MT5588,Sweetgrass Border Patrol Secto,8,37 Nine Mile Road (State Road 553),Sunburst,MT,59482,48.88576,-111.894,33000,2008,3002,Matthew Rosendale,Active,Building,,
TN1005,Library Garage,4,151 6Th Ave N,Nashville,TN,37203,36.1619369,-86.781062,0,2000,4707,Mark Green,Active,Structure,,
IL2491,Novanis E-Business Center,5,3161 W White Oaks Dr,Springfield,IL,62704,39.75964,-89.710041,14895,2000,1713,Nikki Budzinski,Active,Building,,
MT5645,Ryman,8,350 Ryman St,Missoula,MT,59802,46.872783,-113.99513,4422,2000,3001,Ryan Zinke,Active,Building,,
FL1141,5523 Sw 35Th Dr,4,5523 Sw 35Th Dr,Gainesville,FL,32608,29.6003288,-82.375325,8843,2017,1203,Kat Cammack,Active,Building,,
MO0617,Federal Ctr Bg 115,6,4300 Goodfellow Blvd,St. Louis,MO,63120,38.6914,-90.267091,10195.22,1942,2901,Cori Bush,Active,Building,,
CA7392,Mexport Business Center,9,1778 Carr Rd,Calexico,CA,92231,32.6808271,-115.379901,6515,2000,625,Raul Ruiz,Active,Building,,
NY7593,The Coates Building,2,555 Madison Ave,New York,NY,10022,40.76134,-73.972881,23167,2000,3612,Jerrold Nadler,Active,Building,,
VA0337,Advanced Systems Ctr,11,12201 Sunrise Valley Dr,Reston,VA,20192,38.9469842,-77.367512,33307.93,1991,5111,Gerald Connolly,Active,Building,,
DC0113,Cosmos Club,11,717 Madison Pl Nw,Washington,DC,20005,38.8989924,-77.035073,10988.03,1910,1198,Eleanor Norton,Active,Building,,
MS0071,Miss River Comm,4,1400 Walnut St,Vicksburg,MS,39180,32.3489808,-90.881195,52432.57,1894,2802,Bennie Thompson,Active,Building,,
MT5397,Forest Service Building - Helena,8,2880 Skyway Dr,Helena,MT,59602,46.61219,-111.989,1810,2000,3002,Matthew Rosendale,Active,Building,,
MI2077,Danser Building,5,308 State St,Petoskey,MI,49770,45.37156,-84.956891,5454,2000,2601,Jack Bergman,Active,Building,,
CO0519,Dfc Bldg 45,8,W 6Th Ave & Kipling St,Lakewood,CO,80225,39.72166,-105.119,73143.12,1941,807,Brittany Pettersen,Active,Building,,
NV6490,5325 Louie Lane,9,5325 Louie Ln,Reno,NV,89511,39.473991,-119.76899,0,1990,3202,Mark Amodei,Active,Building,,
TX0958,Usbs Bota El Paso Truck Inspection,7,3600 E Paisano Dr,El Paso,TX,79905,31.765631,-106.44938,10041.73,1988,4816,Veronica Escobar,Active,Structure,,
ME0074,"Usbp Houlton Sector Hq, Hodgdon",1,96 Calais Rd,Houlton,ME,4730,46.08891,-67.841461,14630.37,1965,2302,Jared Golden,Active,Building,,
MT0653,Raymond Poe - Main Port Building,8,1519 Mt-16,Raymond,MT,59256,48.99725,-104.575,17816.45,2003,3002,Matthew Rosendale,Active,Building,,
AR1173,Two Financial Centre,7,10825 Financial Centre Pkwy,Little Rock,AR,72211,34.7459909,-92.412273,17129,2000,502,J. Hill,Active,Building,,
MS0505,Greenville Us Courthouse,4,219 Washington Ave,Greenville,MS,38701,33.412356,-91.0636335,49016.41,2024,2802,Bennie Thompson,Active,Building,,
CA8057,3470 12Th Street,9,3470 12Th St,Riverside,CA,92501,33.97639,-117.37471,59630,2000,639,Mark Takano,Active,Building,,
CA8359,Us Forest Service Building,9,875 Mitchell Ave,Oroville,CA,95965,39.50458,-121.56367,16753,1979,601,Doug LaMalfa,Active,Building,,
MD1046,"Wedgewood South, Building #3",3,4420 Buckeystown Pike,Frederick,MD,21704,39.35461,-77.423361,370994,2000,2406,David Trone,Active,Building,,
WA0653,Sumas Land Port Of Entry Station Building,10,103 Cherry St,Sumas,WA,98295,49.0020467,-122.2656274,21308.6,1990,5302,Rick Larsen,Active,Building,,
KS0094,Robert J. Dole Us Courthouse,6,500 State Ave,Kansas City,KS,66101,39.11709,-94.622591,238062.98,1994,2002,Jake LaTurner,Active,Building,,
FL2423,Oho/Ssa Clearwater,4,600 Cleveland St,Clearwater,FL,33755,27.96601,-82.798471,2214,2000,1213,Anna Paulina Luna,Active,Building,,
NE1375,2001 Broadway,6,2001 Broadway,Scottsbluff,NE,69361,41.86689,-103.66231,2000,2000,3103,Adrian Smith,Active,Building,,
TX2581,Alpine Federal Courthouse,7,2450 N Highway 118,Alpine,TX,79830,30.3810025,-103.67037,30610,2000,4823,Tony Gonzales,Active,Building,,
TX2025,North Star Ii Bldg.,7,8713 Airport Fwy,North Richland Hills,TX,76180,32.8377208,-97.194214,5927,2000,4824,Beth Van Duyne,Active,Building,,
TX2707,2333 Hobart,7,2333 N Hobart St,Pampa,TX,79065,35.5635,-100.97252,5565,2007,4813,Ronny Jackson,Active,Building,,
MN1730,2900 Tech Center,5,2900 43Rd St Nw,Rochester,MN,55901,44.06752,-92.506951,2741,2000,2701,Brad Finstad,Active,Building,,
MO0610,Fed Ctr Bg 104E,6,4300 Goodfellow Blvd,St. Louis,MO,63120,38.6914,-90.267091,17959.13,1942,2901,Cori Bush,Active,Building,,
WV0163,Robert C. Byrd Fb & Courthouse,3,300 Virginia St E,Charleston,WV,25301,38.35248,-81.638991,317246.56,1998,5401,Carol Miller,Active,Building,,
IL2542,Broadview Place,5,2000 S 25Th Ave,Broadview,IL,60155,41.866812,-87.864138,0,2000,1707,Danny Davis,Active,Structure,,
TX0301,Usbs Los Indios Administration Building,7,100 Los Indios Blvd,Los Indios,TX,78567,26.038166,-97.73667,12430.99,1992,4834,Vicente Gonzalez,Active,Building,,
TX2081,Capital Of Texas Plaza,7,9009 Mountain Ridge Dr,Austin,TX,78759,30.38693,-97.753341,20288,2000,4837,Lloyd Doggett,Active,Building,,
AR1273,10810 Executive Center Drive,7,10810 Executive Center Dr,Little Rock,AR,72211,34.74005,-92.396971,8352,2000,502,J. Hill,Active,Building,,
TN0013,Fred D. Thompson U.S. Courthouse & Federal Building,4,719 Church St,Nashville,TN,37203,36.16138,-86.783121,248220.52,2022,4707,Mark Green,Active,Building,,
VA0263,Skyline Vi,11,5109 Leesburg Pike,Falls Church,VA,22041,38.84355,-77.116891,104366,2000,5108,Donald Beyer,Active,Building,,
IL2548,Springfield Il Agriculture Dept,5,3500 Wabash Ave,Springfield,IL,62711,39.757608,-89.717679,18693,2000,1715,Mary Miller,Active,Building,,
OK0074,Lawton Federal Bldg/Courthouse,7,410 Sw 5Th St,Lawton,OK,73501,34.603188,-98.394932,24438.75,1917,4004,Tom Cole,Active,Building,,
VA0592,Fei Storage Facility,3,1301 Emmet St N,Charlottesville,VA,22903,38.0544676,-78.497836,3134.65,1993,5105,Bob Good,Active,Building,,
MI0501,Hart-Dole-Inouye Bldg No 1,5,50 Washington Ave N,Battle Creek,MI,49037,42.32689,-85.188221,222366.52,1928,2604,Bill Huizenga,Active,Building,,
LA1506,924 Kenner Ave.,7,924 Kenner Ave,Kenner,LA,70062,29.97984,-90.258711,9600,2000,2202,Troy Carter,Active,Building,,
OR6702,Millpoint Building 3000,10,730 Sw Bonnett Way,Bend,OR,97702,44.0431181,-121.32385,5115,2004,4105,Lori Chavez-DeRemer,Active,Building,,
WA8085,Melody Lane,10,215 Melody Ln,Wenatchee,WA,98801,47.469987,-120.33672,31866,2000,5308,Kim Schrier,Active,Building,,
WV0152,Nelson Trust Warehse,3,715 13Th St,Huntington,WV,25701,38.41726,-82.436231,14101,2000,5401,Carol Miller,Active,Building,,
NY6477,Mabeys Self Storage,2,9 Morris Ln,Clifton Park,NY,12065,42.82198,-73.762501,1150,2000,3620,Paul Tonko,Active,Building,,
MI1881,Nps Visitors Center,5,9922 W Front St,Empire,MI,49630,44.8111073,-86.056052,14412,2000,2601,Jack Bergman,Active,Building,,
CA8397,Hueneme Road Industrial Center,9,720 W Hueneme Rd,Oxnard,CA,93033,34.1473931,-119.18474,3568,2000,626,Julia Brownley,Active,Building,,
AZ8269,Yuma Commerce Center,9,7016 E 30Th St,Yuma,AZ,85365,32.6743,-114.51219,8747,2007,409,Paul Gosar,Active,Building,,
IL2643,Ivanhoe Woods Corporate Center,5,505 Warrenville Rd,Lisle,IL,60532,41.80768,-88.060061,1520,2000,1706,Sean Casten,Active,Building,,
ME0844,"Lpoe Secondary Inspection, Van Buren",1,165 Acadian Way,Van Buren,ME,4785,47.158888,-67.933397,13045.33,2013,2302,Jared Golden,Active,Building,,
MI2140,Pellston Regional Airport,5,1393 N Us Highway 31,Pellston,MI,49769,45.5717348,-84.783852,763,2000,2601,Jack Bergman,Active,Building,,
AK3414,3000 C Street,10,3000 C St,Anchorage,AK,99503,61.1930468,-149.88742,14805,2000,200,Mary Peltola,Active,Building,,
ID4422,Gala Building,10,2321 E Gala St,Meridian,ID,83642,43.588926,-116.36528,1285,2000,1601,Russ Fulcher,Active,Building,,
FL2476,Modis Building,4,1 Independent Dr,Jacksonville,FL,32202,30.32548,-81.658451,109011,2000,1204,Aaron Bean,Active,Building,,
TN2184,3602 Austin Peay Hwy.,4,3602 Austin Peay Hwy,Memphis,TN,38128,35.2234,-89.906091,12545,2000,4709,Steve Cohen,Active,Building,,
TX0892,Fed Ctr Shed 53 Vehicle Stor,7,501 W Felix St,Fort Worth,TX,76115,32.67578,-97.329281,5427.55,1943,4833,Marc Veasey,Active,Building,,
SC1055,"Uscis Building, Charleston, Sc",4,1821 Sam Rittenberg Blvd,Charleston,SC,29407,32.800272,-80.019668,16713,2000,4506,James Clyburn,Active,Building,,
GA1158,"Rhodes Building, Atlanta, Ga",4,3005 Chamblee Tucker Rd,Atlanta,GA,30341,33.878749,-84.267266,113607,2020,1304,Henry Johnson,Active,Building,,
NV8229,Creekside Corporate Center Ii,9,980 Sandhill Rd,Reno,NV,89521,39.44398,-119.75129,20518,2005,3202,Mark Amodei,Active,Building,,
NC2431,Probation Building,4,509 Broad St,New Bern,NC,28560,35.10827,-77.041941,2441,2020,3703,Gregory Murphy,Active,Building,,
OH2001,Grant Washington Blg,5,441 Wolf Ledges Pkwy,Akron,OH,44311,41.07161,-81.519621,3756,2000,3913,Emilia Sykes,Active,Building,,
GA2269,Valdosta Regional Airport,4,1750 Airport Rd,Valdosta,GA,31601,30.7938029,-83.280888,669,2000,1308,Austin Scott,Active,Building,,
CA7725,Benicia Industrial Park,9,5430 Industrial Way,Benicia,CA,94510,38.0829778,-122.10973,0,2007,608,John Garamendi,Active,Building,,
NM0083,Usbs Columbus Pov Secondary Inspection,7,State Highway 11 Mile Marker 0,Columbus,NM,88029,31.831665,-107.63875,5476,2018,3502,Gabe Vasquez,Active,Building,,
KY3009,"Social Security Administration, Richmond, Ky",4,1060 Gibson Bay Dr,Richmond,KY,40475,37.73829,-84.266641,7189,2000,2106,Andy Barr,Active,Building,,
VA1580,Commerce Executive V,11,11440 Commerce Park Dr,Reston,VA,20191,38.94695,-77.341441,20385,1989,5111,Gerald Connolly,Active,Building,,
KS1620,Cambridge Plaza,6,2020 N Webb Rd,Wichita,KS,67206,37.71994,-97.225811,1290,2000,2004,Ron Estes,Active,Building,,
TX2386,Tanglewood Center Building,7,1700 S Southeast Loop 323,Tyler,TX,75701,32.330745,-95.264888,0,2000,4801,Nathaniel Moran,Active,Building,,
MI2187,Chesterfield Twp Mi Ssa Building,5,26200 21 Mile Rd,Chesterfield Township,MI,48051,42.64455,-82.844581,9603,2000,2609,Lisa McClain,Active,Building,,
MI0072,Fob Us Post Off Cths,5,410 W Michigan Ave,Kalamazoo,MI,49007,42.2916512,-85.587597,62249.39,1939,2604,Bill Huizenga,Active,Building,,
MI2072,Eyde Parkway,5,2911 Eyde Pky,East Lansing,MI,48823,42.7167799,-84.455321,9195,2000,2607,Elissa Slotkin,Active,Building,,
MD1819,12101 -12119 Indian Creek Ct,11,12101 Indian Creek Ct,Beltsville,MD,20705,39.05662,-76.896551,24083,2000,2404,Glenn Ivey,Active,Building,,
MS2243,Laurel Ssa Building,4,3210 Highway 15 North,Laurel,MS,39440,31.730308,-89.147013,8876,2011,2803,Michael Guest,Active,Building,,
MT5639,Granite Tower - Billings- Pdg,8,222 N 32Nd St,Billings,MT,59101,45.7813423,-108.5122724,3577,2000,3002,Matthew Rosendale,Active,Building,,
